DriverNumber,LapNumber,RPM,nGear,Throttle,Brake,DRS
5,19,9219.671732522796,3.930091185410334,49.39817629179331,88,0
5,20,9094.064220183487,3.920489296636086,47.03669724770642,88,0
5,21,9083.426829268292,3.972560975609756,47.30487804878049,84,0
5,22,9065.15644171779,3.9754601226993866,47.29754601226994,93,0
5,23,9116.871951219513,3.942073170731707,46.89329268292683,90,0
5,24,9089.079268292682,3.9390243902439024,46.603658536585364,89,0
5,25,9049.863636363636,3.984848484848485,47.04848484848485,93,0
5,26,9057.41087613293,3.897280966767372,47.1178247734139,93,0
5,27,9106.846385542169,3.9156626506024095,48.105421686746986,95,0
5,28,9217.267692307692,3.876923076923077,50.30769230769231,94,16
5,29,9229.80303030303,3.8454545454545452,49.03333333333333,97,4
5,30,9144.877675840979,3.831804281345566,48.305810397553515,93,0
5,31,9170.60960960961,3.8378378378378377,47.93993993993994,96,0
5,32,9162.512121212121,3.8424242424242423,48.4,96,0
5,33,9018.961077844311,3.8802395209580838,47.48203592814371,94,0
5,34,9067.969604863221,3.778115501519757,45.83586626139817,95,0
5,35,9078.91369047619,3.8839285714285716,47.19047619047619,96,0
5,36,9050.760479041915,3.811377245508982,46.78443113772455,94,0
5,37,9087.5625,3.8422619047619047,47.43154761904762,95,0
5,38,8070.820895522388,3.8477611940298506,40.92238805970149,93,0
5,39,9048.432024169184,3.7915407854984893,46.34743202416919,103,0
5,40,9060.636636636636,3.8618618618618616,46.453453453453456,97,0
5,41,9048.189759036144,3.8042168674698793,46.993975903614455,96,0
5,42,9080.604166666666,3.8363095238095237,47.05357142857143,94,0
5,43,9052.492581602373,3.8664688427299705,47.13649851632047,100,0
5,44,9081.945454545454,3.815151515151515,46.50909090909091,101,0
5,45,9088.301492537314,3.8716417910447762,47.3910447761194,98,0
5,46,9043.27245508982,3.8862275449101795,46.92814371257485,102,0
5,47,9048.25,3.8048780487804876,47.015243902439025,94,0
5,48,9074.277611940299,3.8328358208955224,45.865671641791046,95,0
5,49,9059.042042042041,3.8468468468468466,46.525525525525524,92,0
5,50,9061.220895522389,3.8656716417910446,46.05074626865672,96,0
5,51,9090.881458966565,3.8328267477203646,46.15501519756839,94,0
5,52,9071.003039513678,3.811550151975684,45.796352583586625,93,0
