meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1236,9523,44,189.0,180,272.0,2024-05-26T13:54:07.010000+00:00,81.612,False,21.571,38.073,21.968,"[2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048]",8
1236,9523,55,191.0,172,276.0,2024-05-26T13:53:58.819000+00:00,80.272,False,21.208,37.732,21.332,"[2049, 2049, 2048, 2049, 2049, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048]",8
1236,9523,63,188.0,167,253.0,2024-05-26T13:54:03.289000+00:00,81.612,False,21.689,38.104,21.819,"[2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2051, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2051, 2048, 2048]",8
1236,9523,77,177.0,174,284.0,2024-05-26T13:54:12.138000+00:00,82.249,False,21.812,38.218,22.219,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",8
1236,9523,81,181.0,181,274.0,2024-05-26T13:53:57.879000+00:00,81.058,False,21.425,37.957,21.676,"[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2051, 2049, 2048, 2048]",8
1236,9523,1,173.0,177,263.0,2024-05-26T13:55:27.081000+00:00,81.74,False,21.492,38.489,21.759,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",9
1236,9523,2,188.0,168,281.0,2024-05-26T13:55:34.868000+00:00,81.679,False,21.538,37.874,22.267,"[None, 2048, 2048, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048]",9
1236,9523,3,194.0,165,272.0,2024-05-26T13:55:34.092000+00:00,81.528,False,21.451,38.022,22.055,"[None, 2048, 2049, 2048, 2049, 2048]","[2049, 2049, 2048, 2049, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2049, 2048, 2048]",9
1236,9523,4,185.0,177,275.0,2024-05-26T13:55:20.864000+00:00,80.397,False,20.935,37.902,21.56,"[2051, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",9
1236,9523,10,176.0,179,,2024-05-26T13:55:30.719000+00:00,82.071,False,21.526,38.64,21.905,"[None, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048]",9
1236,9523,14,191.0,162,277.0,2024-05-26T13:55:33.596000+00:00,81.65,False,21.431,38.194,22.025,"[None, 2049, 2049, 2049, 2049, 2048]","[2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",9
1236,9523,16,197.0,177,271.0,2024-05-26T13:55:17.831000+00:00,80.114,False,21.092,37.612,21.41,"[2049, 2048, 2048, 2049, 2049, 2048]","[2048, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",9
