LapNumber,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,Year,DriverNumber,RPM,nGear,Throttle,Brake,DRS,Time,Driver,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Weight
32.0,27.5,45.8,1014.9,34.2,168.0,1.6,0.0,2018,10,9515.379204892966,3.602446483180428,49.3394495412844,81,0,0 days 00:49:13.506000,GAS,0 days 00:01:18.630000,1.0,,,0 days 00:00:20.458000,0 days 00:00:37.073000,0 days 00:00:21.099000,0 days 00:48:15.345000,0 days 00:48:52.418000,0 days 00:49:13.517000,206.0,191.0,250.0,271.0,False,HYPERSOFT,36.0,False,Toro Rosso,0 days 00:47:54.876000,,1,6.0,False,,False,True,796.7631246515389
33.0,27.6,45.2,1015.0,35.0,241.0,1.4,0.0,2018,10,9538.262195121952,3.640243902439024,50.72865853658536,84,0,0 days 00:50:31.781000,GAS,0 days 00:01:18.275000,1.0,,,0 days 00:00:20.463000,0 days 00:00:36.803000,0 days 00:00:21.009000,0 days 00:49:33.980000,0 days 00:50:10.783000,0 days 00:50:31.792000,,191.0,250.0,272.0,False,HYPERSOFT,37.0,False,Toro Rosso,0 days 00:49:13.506000,,1,6.0,False,,False,True,795.4411157309926
34.0,27.5,45.75,1014.95,35.05,199.0,1.25,0.0,2018,10,9521.869300911854,3.617021276595745,50.01823708206687,80,0,0 days 00:51:50.471000,GAS,0 days 00:01:18.690000,1.0,,,0 days 00:00:20.561000,0 days 00:00:37.087000,0 days 00:00:21.042000,0 days 00:50:52.353000,0 days 00:51:29.440000,0 days 00:51:50.482000,207.0,189.0,250.0,272.0,False,HYPERSOFT,38.0,False,Toro Rosso,0 days 00:50:31.781000,,1,6.0,False,,False,True,794.1191068104463
35.0,27.5,45.7,1014.9,34.9,171.0,1.3,0.0,2018,10,9571.396341463416,3.573170731707317,49.76524390243903,86,0,0 days 00:53:09.061000,GAS,0 days 00:01:18.590000,1.0,,,0 days 00:00:20.552000,0 days 00:00:37.008000,0 days 00:00:21.030000,0 days 00:52:11.034000,0 days 00:52:48.042000,0 days 00:53:09.072000,,190.0,251.0,272.0,False,HYPERSOFT,39.0,False,Toro Rosso,0 days 00:51:50.471000,,1,6.0,False,,False,True,792.7970978899
36.0,27.6,46.1,1015.0,35.2,196.0,2.1,0.0,2018,10,9446.809667673717,3.6132930513595167,49.65256797583081,87,0,0 days 00:54:28.109000,GAS,0 days 00:01:19.048000,1.0,,,0 days 00:00:20.504000,0 days 00:00:37.156000,0 days 00:00:21.388000,0 days 00:53:29.576000,0 days 00:54:06.732000,0 days 00:54:28.120000,204.0,192.0,251.0,272.0,False,HYPERSOFT,40.0,False,Toro Rosso,0 days 00:53:09.061000,,1,6.0,False,,False,True,791.4750889693538
37.0,27.5,46.25,1015.05,35.3,173.5,1.2,0.0,2018,10,8829.623762376237,2.868811881188119,48.73267326732673,109,0,0 days 00:56:04.625000,GAS,0 days 00:01:36.516000,1.0,,0 days 00:55:41.127000,0 days 00:00:20.891000,0 days 00:00:37.485000,0 days 00:00:38.140000,0 days 00:54:49.011000,0 days 00:55:26.496000,0 days 00:56:04.636000,196.0,192.0,,272.0,False,HYPERSOFT,41.0,False,Toro Rosso,0 days 00:54:28.109000,,1,10.0,False,,False,False,790.1530800488075
38.0,27.4,46.9,1015.1,35.1,191.0,1.3,0.0,2018,10,9878.305637982196,3.2373887240356085,50.07121661721068,97,0,0 days 00:57:25.207000,GAS,0 days 00:01:20.582000,2.0,0 days 00:56:05.315000,,0 days 00:00:22.982000,0 days 00:00:36.619000,0 days 00:00:20.981000,0 days 00:56:27.618000,0 days 00:57:04.237000,0 days 00:57:25.218000,185.0,186.0,254.0,276.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:56:04.625000,,1,10.0,False,,False,False,788.8310711282612
39.0,27.4,47.5,1015.2,35.8,0.0,0.8,0.0,2018,10,9712.89024390244,3.506097560975609,48.823170731707314,92,0,0 days 00:58:43.446000,GAS,0 days 00:01:18.239000,2.0,,,0 days 00:00:20.426000,0 days 00:00:36.946000,0 days 00:00:20.867000,0 days 00:57:45.644000,0 days 00:58:22.590000,0 days 00:58:43.457000,201.0,188.0,254.0,277.0,False,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:57:25.207000,,1,10.0,False,,False,True,787.5090622077149
40.0,27.45,47.8,1015.0,36.15,243.5,1.05,0.0,2018,10,9573.286153846151,3.596923076923077,48.96615384615384,90,0,0 days 01:00:01.296000,GAS,0 days 00:01:17.850000,2.0,,,0 days 00:00:20.359000,0 days 00:00:36.348000,0 days 00:00:21.143000,0 days 00:59:03.816000,0 days 00:59:40.164000,0 days 01:00:01.307000,200.0,187.0,256.0,278.0,True,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:58:43.446000,,1,10.0,False,,False,True,786.1870532871686
41.0,27.5,47.6,1015.1,36.4,310.0,0.8,0.0,2018,10,9480.924242424242,3.5484848484848484,47.26969696969697,93,17,0 days 01:01:20.317000,GAS,0 days 00:01:19.021000,2.0,,,0 days 00:00:20.645000,0 days 00:00:36.951000,0 days 00:00:21.425000,0 days 01:00:21.952000,0 days 01:00:58.903000,0 days 01:01:20.328000,202.0,181.0,262.0,282.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 01:00:01.296000,,1,10.0,False,,False,True,784.8650443666223
42.0,27.4,48.9,1015.0,36.6,167.0,1.9,0.0,2018,10,9498.981818181815,3.56969696969697,47.345454545454544,99,20,0 days 01:02:39.313000,GAS,0 days 00:01:18.996000,2.0,,,0 days 00:00:20.782000,0 days 00:00:37.076000,0 days 00:00:21.138000,0 days 01:01:41.110000,0 days 01:02:18.186000,0 days 01:02:39.324000,198.0,186.0,262.0,281.0,False,SUPERSOFT,5.0,True,Toro Rosso,0 days 01:01:20.317000,,1,10.0,False,,False,True,783.543035446076
43.0,27.25,49.9,1015.05,36.8,171.5,1.5,0.0,2018,10,9509.366366366366,3.5165165165165164,46.7987987987988,94,3,0 days 01:03:58.631000,GAS,0 days 00:01:19.318000,2.0,,,0 days 00:00:21.208000,0 days 00:00:37.045000,0 days 00:00:21.065000,0 days 01:03:00.532000,0 days 01:03:37.577000,0 days 01:03:58.642000,192.0,188.0,254.0,280.0,False,SUPERSOFT,6.0,True,Toro Rosso,0 days 01:02:39.313000,,1,10.0,False,,False,True,782.2210265255297
44.0,27.1,50.9,1015.1,37.0,176.0,1.1,0.0,2018,10,9537.051671732524,3.601823708206687,47.52887537993921,90,0,0 days 01:05:17.403000,GAS,0 days 00:01:18.772000,2.0,,,0 days 00:00:20.712000,0 days 00:00:36.799000,0 days 00:00:21.261000,0 days 01:04:19.354000,0 days 01:04:56.153000,0 days 01:05:17.414000,197.0,185.0,254.0,278.0,False,SUPERSOFT,7.0,True,Toro Rosso,0 days 01:03:58.631000,,1,10.0,False,,False,True,780.8990176049836
45.0,26.9,51.6,1015.2,36.3,191.0,1.7,0.0,2018,10,9531.369696969698,3.587878787878788,48.333333333333336,91,0,0 days 01:06:36.133000,GAS,0 days 00:01:18.730000,2.0,,,0 days 00:00:20.659000,0 days 00:00:36.726000,0 days 00:00:21.345000,0 days 01:05:38.073000,0 days 01:06:14.799000,0 days 01:06:36.144000,200.0,184.0,255.0,278.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 01:05:17.403000,,1,10.0,False,,False,True,779.5770086844373
46.0,26.8,52.1,1015.15,36.55,167.0,1.4,0.0,2018,10,9492.364741641337,3.604863221884498,48.12765957446808,92,0,0 days 01:07:54.838000,GAS,0 days 00:01:18.705000,2.0,,,0 days 00:00:20.805000,0 days 00:00:36.853000,0 days 00:00:21.047000,0 days 01:06:56.949000,0 days 01:07:33.802000,0 days 01:07:54.849000,201.0,188.0,256.0,277.0,False,SUPERSOFT,9.0,True,Toro Rosso,0 days 01:06:36.133000,,1,10.0,False,,False,True,778.254999763891
